BookID,ISBN,Title,Category,Author,Publisher,Price,Stock,YearOfPublication,ImageUrlSmall,ImageUrlMedium,ImageUrlLarge
1,195153448,Classical Mythology,Historical-fiction,Mark P. O. Morford,Oxford University Press,544,214,2002,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg
2,2005018,Clara Callan,Science-Fiction,Richard Bruce Wright,HarperFlamingo Canada,501,297,2001,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg
3,60973129,Decision in Normandy,Mystery,Carlo D'Este,HarperPerennial,900,170,1991,http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg
4,374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Historical-Fantasy,Gina Bari Kolata,Farrar Straus Giroux,594,200,1999,http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg
5,393045218,The Mummies of Urumchi,Mystery,E. J. W. Barber,W. W. Norton &amp; Company,408,199,1999,http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg
6,399135782,The Kitchen God's Wife,Mystery,Amy Tan,Putnam Pub Group,915,461,1991,http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg
7,425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Science-Fiction,Robert Cowley,Berkley Publishing Group,839,454,2000,http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg
8,671870432,PLEADING GUILTY,Science-Fiction,Scott Turow,Audioworks,562,282,1993,http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg
9,679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,Historical-fiction,David Cordingly,Random House,984,208,1996,http://images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg
10,074322678X,Where You'll Find Me: And Other Stories,Historical-Fantasy,Ann Beattie,Scribner,869,166,2002,http://images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg
11,771074670,Nights Below Station Street,Historical-fiction,David Adams Richards,Emblem Editions,571,444,1988,http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg
12,080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Non-Fiction,Adam Lebor,Citadel Press,792,435,2000,http://images.amazon.com/images/P/080652121X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg
13,887841740,The Middle Stories,Mystery,Sheila Heti,House of Anansi Press,695,210,2004,http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg
14,1552041778,Jane Doe,Historical-Fantasy,R. J. Kaiser,Mira Books,392,230,1999,http://images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg
15,1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Autobiography,Jack Canfield,Health Communications,622,413,1998,http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg
16,1567407781,The Witchfinder (Amos Walker Mystery Series),Non-Fiction,Loren D. Estleman,Brilliance Audio - Trade,542,360,1998,http://images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg
17,1575663937,More Cunning Than Man: A Social History of Rats and Man,Fiction,Robert Hendrickson,Kensington Publishing Corp.,863,209,1999,http://images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg
18,1881320189,Goodbye to the Buttermilk Sky,Mystery,Julia Oliver,River City Pub,643,276,1994,http://images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg
19,440234743,The Testament,Historical-fiction,John Grisham,Dell,364,187,1999,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg
